run 0						
time	12V rail	5V rail	3,3V rail	POWER 12V	POWER 5V	POWER 3,3V
41.699	11.247	0.692	1.500	12.070	0.152	-7.917
41.800	11.248	0.692	1.500	12.505	0.147	-6.233
41.899	11.247	0.691	1.499	12.396	0.156	-5.003
42.000	11.247	0.691	1.500	12.251	0.156	-3.890
42.100	11.248	0.692	1.500	12.397	0.154	-2.880
42.200	11.247	0.691	1.500	12.214	0.154	-1.903
42.299	11.249	0.693	1.502	12.688	0.154	-0.488
42.401	11.247	0.691	1.500	12.287	0.150	0.986
42.501	11.247	0.692	1.500	12.650	0.147	2.088
42.600	11.249	0.693	1.502	12.470	0.152	3.817
42.700	11.249	0.693	1.501	12.361	0.154	5.657
42.800	11.245	0.689	1.498	12.212	0.158	8.080
42.900	11.249	0.693	1.502	12.361	0.161	10.153
43.000	11.250	0.694	1.503	12.544	0.166	12.129
43.100	11.249	0.693	1.502	12.506	0.161	13.348
43.199	11.248	0.692	1.501	12.107	0.154	13.780
43.300	11.249	0.693	1.502	12.506	0.161	14.666
43.400	11.249	0.694	1.501	12.036	0.148	15.954
43.499	11.247	0.692	1.499	12.758	0.147	17.179
43.599	11.249	0.693	1.501	12.180	0.152	18.938
43.701	11.248	0.692	1.499	12.433	0.143	19.556
43.800	11.248	0.693	1.502	12.542	0.141	20.238
43.900	11.249	0.693	1.501	12.506	0.150	20.621
43.999	11.248	0.693	1.500	12.325	0.143	21.173
44.100	11.249	0.693	1.501	12.651	0.143	21.109
44.201	11.248	0.692	1.501	12.578	0.145	21.665
44.299	11.249	0.693	1.502	12.434	0.132	22.027
44.400	11.248	0.693	1.500	12.288	0.127	22.922
44.501	11.249	0.694	1.501	12.072	0.148	23.894
44.599	11.249	0.693	1.501	12.434	0.134	23.991
44.699	11.248	0.692	1.500	12.541	0.139	23.216
44.800	11.249	0.693	1.502	12.543	0.152	23.551
44.899	11.249	0.693	1.501	12.506	0.163	22.835
45.000	11.249	0.694	1.502	12.615	0.139	21.727
45.100	11.247	0.691	1.500	12.359	0.134	20.057
45.199	11.248	0.693	1.501	12.796	0.136	19.165
45.300	11.248	0.693	1.501	12.941	0.139	19.832
45.399	11.247	0.691	1.498	12.323	0.116	21.063
45.500	11.249	0.693	1.500	12.397	0.076	20.926
45.600	11.248	0.692	1.499	12.251	0.188	22.265
45.699	11.248	0.693	1.500	12.035	0.255	21.332
45.799	11.249	0.694	1.502	12.326	0.152	18.374
45.899	11.249	0.694	1.501	12.362	0.125	13.966
46.000	11.249	0.693	1.502	12.434	0.141	10.525
46.101	11.249	0.693	1.501	12.543	0.121	8.125
46.199	11.250	0.695	1.503	12.327	0.157	7.895
46.299	11.249	0.693	1.501	12.506	0.076	8.054
46.401	11.249	0.693	1.501	11.854	0.107	8.977
46.501	11.248	0.692	1.499	12.505	0.076	8.740
